Epoch 1 It 500 | Dev PP = 21581.03212381922
Epoch 1 It 500 | Test PP = 21564.967494108936
Epoch 1 It 1000 | Dev PP = 13563.228625455891
Epoch 1 It 1000 | Test PP = 13583.198185622135
Epoch 1 It 1500 | Dev PP = 9956.468777114847
Epoch 1 It 1500 | Test PP = 9970.190217278381
Epoch 1 It 2000 | Dev PP = 7772.113664099048
Epoch 1 It 2000 | Test PP = 7791.692959060022
Epoch 1 It 2500 | Dev PP = 6257.530453094634
Epoch 1 It 2500 | Test PP = 6279.7653385843
Epoch 1 It 3000 | Dev PP = 5200.549125361589
Epoch 1 It 3000 | Test PP = 5225.477090336638
Epoch 1 It 3500 | Dev PP = 4368.916456939845
Epoch 1 It 3500 | Test PP = 4392.439907143427
Epoch 1 It 4000 | Dev PP = 3692.150423852146
Epoch 1 It 4000 | Test PP = 3714.514486412724
Epoch 1 It 4500 | Dev PP = 3159.68599647783
Epoch 1 It 4500 | Test PP = 3181.7172958969472
Epoch 1 It 5000 | Dev PP = 2730.2124695234875
Epoch 1 It 5000 | Test PP = 2749.6279192620536
Epoch 1 It 5500 | Dev PP = 2401.36057371133
Epoch 1 It 5500 | Test PP = 2420.278024973314
Epoch 1 It 6000 | Dev PP = 2180.9519104134997
Epoch 1 It 6000 | Test PP = 2198.557643307106
Epoch 1 It 6500 | Dev PP = 2014.029502469226
Epoch 1 It 6500 | Test PP = 2032.4901778983074
Epoch 1 It 7000 | Dev PP = 1896.3898108453047
Epoch 1 It 7000 | Test PP = 1914.3503328831657
Epoch 1 It 7500 | Dev PP = 1804.1063483188752
Epoch 1 It 7500 | Test PP = 1822.430043236103
Epoch 1 It 8000 | Dev PP = 1745.4796579465497
Epoch 1 It 8000 | Test PP = 1763.8579580155867
Epoch 1 It 8500 | Dev PP = 1661.8124337552772
Epoch 1 It 8500 | Test PP = 1677.7847833137412
Epoch 1 It 9000 | Dev PP = 1606.5098707378856
Epoch 1 It 9000 | Test PP = 1619.8988222623414
Epoch 1 It 9500 | Dev PP = 1564.2378669476884
Epoch 1 It 9500 | Test PP = 1576.3724378226332
Epoch 1 It 10000 | Dev PP = 1532.1744516421238
Epoch 1 It 10000 | Test PP = 1543.3590522447175
Epoch 1 It 10500 | Dev PP = 1511.5373283160154
Epoch 1 It 10500 | Test PP = 1521.5362498690467
Epoch 2 It 500 | Dev PP = 1474.7095353822867
Epoch 2 It 500 | Test PP = 1483.4588873279392
Epoch 2 It 1000 | Dev PP = 1486.4608114119455
Epoch 2 It 1000 | Test PP = 1496.5678776363495
Epoch 2 It 1500 | Dev PP = 1466.5314274941522
Epoch 2 It 1500 | Test PP = 1476.8440840113788
Epoch 2 It 2000 | Dev PP = 1457.9140874047002
Epoch 2 It 2000 | Test PP = 1467.589449493761
Epoch 2 It 2500 | Dev PP = 1438.8818914083206
Epoch 2 It 2500 | Test PP = 1448.1677101095017
Epoch 2 It 3000 | Dev PP = 1440.4099802587816
Epoch 2 It 3000 | Test PP = 1448.8589720055636
Epoch 2 It 3500 | Dev PP = 1443.1210525706103
Epoch 2 It 3500 | Test PP = 1451.1780644894989
Epoch 2 It 4000 | Dev PP = 1434.1357961993428
Epoch 2 It 4000 | Test PP = 1442.0752418631857
